clave,anio,titulo,fecha_aprobacion,observaciones,estatus,pdfs
CD-LXVI-II-2P-092,II,"PROYECTO de Decreto por el que se adiciona un último párrafo al artículo 46 de la Ley General del Equilibrio Ecológico y la Protección al Ambiente, en materia de conservación, reproducción y reintroducción de especies.",17-Feb-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-092/01_minuta_092_17feb26.pdf;iniclave/66/CD-LXVI-II-2P-092/02_dictamen_092_17feb26.pdf
CD-LXVI-II-2P-093,II,"PROYECTO de Decreto por el que se adicionan un quinto, sexto y séptimo párrafos al artículo 119 de la Ley General de Desarrollo Forestal Sustentable.",17-Feb-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-093/01_minuta_093_17feb26.pdf;iniclave/66/CD-LXVI-II-2P-093/02_dictamen_093_17feb26.pdf
CD-LXVI-II-2P-094,II,"PROYECTO de Decreto por el que se adicionan los artículos 64 Quinquies y 64 Sexies a la Ley General de Responsabilidades Administrativas, en materia de acoso sexual laboral y hostigamiento laboral.",17-Feb-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-094/01_minuta_094_17feb26.pdf;iniclave/66/CD-LXVI-II-2P-094/02_dictamen_094_17feb26.pdf
CD-LXVI-II-2P-095,II,"PROYECTO de Decreto por el que se reforman los artículos 33 y 102 de la Ley General de Cambio Climático, en materia de armonización con la Ley General de Movilidad y Seguridad Vial.",17-Feb-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-095/01_minuta_095_17feb26.pdf;iniclave/66/CD-LXVI-II-2P-095/02_dictamen_095_17feb26.pdf
CD-LXVI-II-2P-096,II,"PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley General de Cultura Física y Deporte, en materia de deporte adaptado.",17-Feb-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-096/01_minuta_096_17feb26.pdf;iniclave/66/CD-LXVI-II-2P-096/02_dictamen_096_17feb26.pdf
CD-LXVI-II-2P-097,II,PROYECTO de Decreto por el que se reforma la fracción III del artículo 10 de la Ley de Educación Naval.,03-Mar-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-097/01_minuta_097_03mar26.pdf;iniclave/66/CD-LXVI-II-2P-097/02_dictamen_097_03mar26.pdf
CD-LXVI-II-2P-098,II,"PROYECTO de Decreto por el que se adiciona una fracción V Bis al artículo 12 de la Ley para el Desarrollo de la Competitividad de la Micro, Pequeña y Mediana Empresa.",03-Mar-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-098/01_minuta_098_03mar26.pdf;iniclave/66/CD-LXVI-II-2P-098/02_dictamen_098_03mar26.pdf
CD-LXVI-II-2P-099,II,PROYECTO de Decreto por el que se reforman y adicionan los artículos 83 Bis y 84 de la Ley Federal para Prevenir y Eliminar la Discriminación.,03-Mar-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-099/01_minuta_099_03mar26.pdf;iniclave/66/CD-LXVI-II-2P-099/02_dictamen_099_03mar26.pdf
CD-LXVI-II-2P-100,II,"PROYECTO de Decreto por el que se adicionan diversas disposiciones a la Ley General de Turismo, en materia de trata de personas.",03-Mar-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-100/01_minuta_100_03mar26.pdf;iniclave/66/CD-LXVI-II-2P-100/02_dictamen_100_03mar26.pdf
CD-LXVI-II-2P-101,II,PROYECTO de Decreto por el que se reforman los artículos 6 y 71 de la Ley de Vivienda.,03-Mar-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-101/01_minuta_101_03mar26.pdf;iniclave/66/CD-LXVI-II-2P-101/02_dictamen_101_03mar26.pdf
CD-LXVI-II-2P-102,II,PROYECTO de Decreto por el que se adiciona un tercer párrafo al artículo 17 de la Ley General de la Alimentación Adecuada y Sostenible.,03-Mar-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-102/01_minuta_102_03mar26.pdf;iniclave/66/CD-LXVI-II-2P-102/02_dictamen_102_03mar26.pdf
CD-LXVI-II-2P-103,II,PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones a los artículos 3o. Ter y 132 de la Ley Federal del Trabajo.,03-Mar-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-103/01_minuta_103_03mar26.pdf;iniclave/66/CD-LXVI-II-2P-103/02_dictamen_103_03mar26.pdf
CD-LXVI-II-2P-104,II,PROYECTO de Decreto por el que se reforman el tercer párrafo del artículo 13 y el primer párrafo del artículo 16 de la Ley Federal de Protección al Consumidor.,04-Mar-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-104/01_minuta_104_04mar26.pdf;iniclave/66/CD-LXVI-II-2P-104/02_dictamen_104_04mar26.pdf
CD-LXVI-II-2P-105,II,"PROYECTO de Decreto por el que se declara la tercera semana de noviembre de cada año, como la ""Semana Nacional de las Mujeres Emprendedoras"".",04-Mar-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-105/01_minuta_105_04mar26.pdf;iniclave/66/CD-LXVI-II-2P-105/02_dictamen_105_04mar26.pdf
CD-LXVI-II-2P-106,II,"PROYECTO de Decreto por el que se reforma y adiciona el artículo 201 del Código Penal Federal, en materia del delito de corrupción de menores.",04-Mar-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-106/01_minuta_106_04mar26.pdf;iniclave/66/CD-LXVI-II-2P-106/02_dictamen_106_04mar26.pdf;iniclave/66/CD-LXVI-II-2P-106/01_modifica_106_04mar26.pdf
CD-LXVI-II-2P-107,II,"PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley General de Cambio Climático, en materia de carbono azul.",04-Mar-2026,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-2P-107/01_minuta_107_04mar26.pdf;iniclave/66/CD-LXVI-II-2P-107/02_dictamen_107_04mar26.pdf
