clave,anio,titulo,fecha_aprobacion,observaciones,estatus,pdfs
CD-LXVI-I-1P-001,I,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos, en materia de reforma del Poder Judicial.",03-Sep-2024,Aprobado por el Senado el 10-Sep-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 13-Sep-2024. Declaratoria de la Cámara de Diputados el 13-Sep-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 15-Sep-2024.,publicada_dof,66/CD-LXVI-I-1P-001/01_minuta_001_03sep24.pdf;66/CD-LXVI-I-1P-001/02_dictamen_001_03sep24.pdf;66/CD-LXVI-I-1P-001/03_dof_001_15sep24.pdf
CD-LXVI-I-1P-002,I,"PROYECTO de Decreto por el que se reforma, adiciona y deroga el artículo 2o. de la Constitución Política de los Estados Unidos Mexicanos, en materia de pueblos y comunidades indígenas y afromexicanos .",18-Sep-2024,Aprobado por el Senado el 24-Sep-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 29-Sep-2024. Declaratoria de la Cámara de Diputados el 29-Sep-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 30-Sep-2024.,publicada_dof,66/CD-LXVI-I-1P-002/01_minuta_002_18sep24.pdf;66/CD-LXVI-I-1P-002/02_dictamen_002_18sep24.pdf;66/CD-LXVI-I-1P-002/03_dof_002_30sep24.pdf
CD-LXVI-I-1P-003,I,"PROYECTO de Decreto por el que se reforman y adicionan los artículos 13, 16, 21, 32, 55, 73, 76, 78, 82, 89, 123 y 129 de la Constitución Política de los Estados Unidos Mexicanos, en materia de guardia nacional.",19-Sep-2024,Aprobado por el Senado el 24-Sep-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 29-Sep-2024. Declaratoria de la Cámara de Diputados el 29-Sep-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 30-Sep-2024.,publicada_dof,66/CD-LXVI-I-1P-003/01_minuta_003_19sep24.pdf;66/CD-LXVI-I-1P-003/02_dictamen_003_19sep24.pdf;66/CD-LXVI-I-1P-003/01_modifica_003_19abr24.pdf;66/CD-LXVI-I-1P-003/03_dof_003_30sep24.pdf
CD-LXVI-I-1P-004,I,"PROYECTO de Decreto por el que se reforma el primer párrafo de la fracción VI del Apartado A y se adiciona un tercer párrafo a la fracción IV del Apartado B del artículo 123 de la Constitución Política de los Estados Unidos Mexicanos, en materia de salarios .",24-Sep-2024,Aprobado por el Senado el 09-Oct-2024. Pasa a las Legislaturas de los Estados. Declaratoria pendiente en la Cámara de Senadores.,en_revisora,66/CD-LXVI-I-1P-004/01_minuta_004_24sep24.pdf;66/CD-LXVI-I-1P-004/02_dictamen_004_24sep24.pdf
CD-LXVI-I-1P-005,I,"PROYECTO de Decreto por el que se adiciona un segundo párrafo al artículo 123 de la Constitución Política de los Estados Unidos Mexicanos, en materia de apoyo a jóvenes.",25-Sep-2024,Aprobado por el Senado el 11-Mar-2025. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 19-Mar-2025. Declaratoria de la Cámara de Diputados el 19-Mar-2025. Pasa al Ejecutivo Federal. Publicado en el DOF el 01-Abr-2025.,publicada_dof,66/CD-LXVI-I-1P-005/01_minuta_005_25sep24.pdf;66/CD-LXVI-I-1P-005/02_dictamen_005_25sep24.pdf;66/CD-LXVI-I-1P-005/03_dof_005_01abr25.pdf
CD-LXVI-I-1P-006,I,PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley Federal del Trabajo .,02-Oct-2024,Aprobado por el Senado el 04-Dic-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 19-Dic-2024.,publicada_dof,66/CD-LXVI-I-1P-006/01_minuta_006_02oct24.pdf;66/CD-LXVI-I-1P-006/02_iniciativa_006_02oct24.pdf;66/CD-LXVI-I-1P-006/03_dof_19dic24.pdf
CD-LXVI-I-1P-007,I,"PROYECTO de Decreto por el que se reforma el párrafo cuarto y se adiciona un párrafo quinto al artículo 28 de la Constitución Política de los Estados Unidos Mexicanos, en materia de vías y transporte ferroviario.",08-Oct-2024,Aprobado por el Senado el 16-Oct-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 24-Oct-2024. Declaratoria de la Cámara de Diputados el 29-Oct-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 30-Oct-2024.,publicada_dof,66/CD-LXVI-I-1P-007/01_minuta_007_08oct24.pdf;66/CD-LXVI-I-1P-007/02_dictamen_007_08oct24.pdf;66/CD-LXVI-I-1P-007/03_dof_30oct24.pdf
CD-LXVI-I-1P-008,I,"PROYECTO de Decreto por el que se reforman el párrafo quinto del artículo 25, los párrafos sexto y séptimo del artículo 27 y el párrafo cuarto del artículo 28 de la Constitución Política de los Estados Unidos Mexicanos, en materia de áreas y empresas estratégicas .",09-Oct-2024,Aprobado por el Senado el 16-Oct-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 24-Oct-2024. Declaratoria de la Cámara de Diputados el 29-Oct-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 31-Oct-2024.,publicada_dof,66/CD-LXVI-I-1P-008/01_minuta_008_09oct24.pdf;66/CD-LXVI-I-1P-008/02_dictamen_008_09oct24.pdf;66/CD-LXVI-I-1P-008/01_modifica_008_09oct24.pdf;66/CD-LXVI-I-1P-008/03_dof_31oct24.pdf
CD-LXVI-I-1P-009,I,"PROYECTO de Decreto por el que se reforman y adicionan los artículos 4o. y 27 de la Constitución Política de los Estados Unidos Mexicanos, en materia de bienestar.",22-Oct-2024,Aprobado por el Senado el 30-Oct-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 06-Nov-2024. Declaratoria de la Cámara de Diputados el 26-Nov-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 02-Dic-2024.,publicada_dof,66/CD-LXVI-I-1P-009/01_minuta_009_22oct24.pdf;66/CD-LXVI-I-1P-009/02_dictamen_009_22oct24.pdf;66/CD-LXVI-I-1P-009/01_modifica_009_22oct24.pdf;66/CD-LXVI-I-1P-009/03_dof_02dic24.pdf
CD-LXVI-I-1P-010,I,"PROYECTO de Decreto por el que se reforma y adiciona la fracción XII del Apartado A del artículo 123 de la Constitución Política de los Estados Unidos Mexicanos, en materia de vivienda para las personas trabajadoras .",23-Oct-2024,Aprobado por el Senado el 31-Oct-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 06-Nov-2024. Declaratoria de la Cámara de Diputados el 26-Nov-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 02-Dic-2024.,publicada_dof,66/CD-LXVI-I-1P-010/01_minuta_010_23oct24.pdf;66/CD-LXVI-I-1P-010/02_dictamen_010_23oct24.pdf;66/CD-LXVI-I-1P-010/03_dof_02dic24.pdf
CD-LXVI-I-1P-011,I,"PROYECTO de Decreto por el que se reforman y adicionan los artículos 3o., 4o. y 73 de la Constitución Política de los Estados Unidos Mexicanos, en materia de protección y cuidado animal.",12-Nov-2024,Aprobado por el Senado el 21-Nov-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 26-Nov-2024. Declaratoria de la Cámara de Diputados el 26-Nov-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 02-Dic-2024.,publicada_dof,66/CD-LXVI-I-1P-011/01_minuta_011_12nov24.pdf;66/CD-LXVI-I-1P-011/02_dictamen_011_12nov24.pdf;66/CD-LXVI-I-1P-011/01_modifica_011_12nov24.pdf;66/CD-LXVI-I-1P-011/03_dof_02dic24.pdf
CD-LXVI-I-1P-012,I,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley Orgánica de la Administración Pública Federal .",13-Nov-2024,Aprobado por el Senado el 26-Nov-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 28-Nov-2024.,publicada_dof,66/CD-LXVI-I-1P-012/01_minuta_012_13nov24.pdf;66/CD-LXVI-I-1P-012/02_dictamen_012_13nov24.pdf;66/CD-LXVI-I-1P-012/01_modifica_012_13nov24.pdf;66/CD-LXVI-I-1P-012/03_dof_28nov24.pdf
CD-LXVI-I-1P-013,I,"PROYECTO de Decreto por el que se reforma el párrafo segundo del artículo 19 de la Constitución Política de los Estados Unidós Mexicanos, en materia de prisión preventiva oficiosa.",13-Nov-2024,Aprobado por el Senado el 27-Nov-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 03-Dic-2024. Declaratoria de la Cámara de Diputados el 03-Dic-2024. Pasa al Ejecutivo Federal. Publicado en el DOF 31-Dic-2024.,publicada_dof,66/CD-LXVI-I-1P-013/01_minuta_013_13nov24.pdf;66/CD-LXVI-I-1P-013/02_dictamen_013_13nov24.pdf;66/CD-LXVI-I-1P-013/01_modifica_013_13nov24.pdf;66/CD-LXVI-I-1P-013/03_dof_013_31dic24.pdf
CD-LXVI-I-1P-014,I,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Constitución Política de los Estados Unidos Mexicanos, en materia de simplificación orgánica .",20-Nov-2024,Aprobado por el Senado el 28-Nov-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 03-Dic-2024. Declaratoria de la Cámara de Diputados el 10-Dic-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 20-Dic-2024.,publicada_dof,66/CD-LXVI-I-1P-014/01_minuta_014_20nov24.pdf;66/CD-LXVI-I-1P-014/02_dictamen_014_20nov24.pdf;66/CD-LXVI-I-1P-014/01_modifica_014_20nov24.pdf;66/CD-LXVI-I-1P-014/03_dof_20dic24.pdf
CD-LXVI-I-1P-015,I,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley Federal de Derechos.",26-Nov-2024,Aprobado por el Senado el 03-Dic-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 19-Dic-2024.,publicada_dof,66/CD-LXVI-I-1P-015/01_minuta_015_26nov24.pdf;66/CD-LXVI-I-1P-015/02_dictamen_015_26nov24.pdf;66/CD-LXVI-I-1P-015/03_dof_19dic24.pdf
CD-LXVI-I-1P-016,I,PROYECTO de Ley de Ingresos de la Federación para el Ejercicio Fiscal de 2025.,26-Nov-2024,Aprobado por el Senado el 03-Dic-2024. Pasa al Ejecutivo Federal. Publicado en el DOF el 19-Dic-2024.,publicada_dof,66/CD-LXVI-I-1P-016/01_minuta_016_26nov24.pdf;66/CD-LXVI-I-1P-016/02_dictamen_016_26nov24.pdf;66/CD-LXVI-I-1P-016/01_modifica_016_26nov24.pdf;66/CD-LXVI-I-1P-016/03_dof_19dic24.pdf
CD-LXVI-I-1P-017,I,"PROYECTO de Decreto por el que se adicionan un párrafo quinto al artículo 4o. y un párrafo segundo al artículo 5o., de la Constitución Política de los Estados Unidos Mexicanos, en materia de protección a la salud.",03-Dic-2024,Aprobado por el Senado el 11-Dic-2024. Pasa a las Legislaturas de los Estados. Declaratoria de la Comisión Permanente el 08-Ene-2025. Pasa al Ejecutivo Federal. Publicado en el DOF 17-Ene-2025.,publicada_dof,66/CD-LXVI-I-1P-017/01_minuta_017_03dic24.pdf;66/CD-LXVI-I-1P-017/02_dictamen_017_03dic24.pdf;66/CD-LXVI-I-1P-017/01_modifica_017_03dic24.pdf;66/CD-LXVI-I-1P-017/03_dof_017_17ene25.pdf
CD-LXVI-I-1P-018,I,PROYECTO de Decreto por el que se reforma el artículo 39 de la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos.,05-Dic-2024,Pendiente Senado.,en_revisora,66/CD-LXVI-I-1P-018/01_minuta_018_05dic24.pdf;66/CD-LXVI-I-1P-018/02_dictamen_018_05dic24.pdf
CD-LXVI-I-1P-019,I,"PROYECTO de Decreto por el que se adicionan diversas disposiciones de la Ley Federal del Trabajo, en materia de plataformas digitales.",10-Dic-2024,Aprobado por el Senado el 12-Dic-2024. Pasa al Ejecutivo Federal. Publicado en el DOF 24-Dic-2024.,publicada_dof,66/CD-LXVI-I-1P-019/01_minuta_019_10dic24.pdf;66/CD-LXVI-I-1P-019/02_dictamen_019_10dic24.pdf;66/CD-LXVI-I-1P-019/03_dof_019_24dic24.pdf
CD-LXVI-I-2P-020,I,"PROYECTO de Decreto por el que se declara al ""2025, Año de la Mujer Indígena"".",01-Feb-2025,Aprobado por el Senado el 13-Feb-2025. Pasa al Ejecutivo Federal. Publicado en el DOF 21-Feb-2025.,publicada_dof,66/CD-LXVI-I-2P-020/01_minuta_020_01feb25.pdf;66/CD-LXVI-I-2P-020/02_dictamen_020_01feb25.pdf;66/CD-LXVI-I-2P-020/03_dof_020_21feb25.pdf
CD-LXVI-I-2P-021,I,PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley de Ascensos y Recompensas del Ejército y Fuerza Aérea Mexicanos.,18-Feb-2025,Aprobado por el Senado el 01-Abr-2025. Pasa al Ejecutivo Federal. Publicado en el DOF el 15-Abr-2025.,publicada_dof,66/CD-LXVI-I-2P-021/01_minuta_021_18feb25.pdf;66/CD-LXVI-I-2P-021/02_dictamen_021_18feb25.pdf;66/CD-LXVI-I-2P-021/03_dof_021_15abr25.pdf
CD-LXVI-I-2P-022,I,"PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de los artículos 4o. y 27 de la Constitución Política de los Estados Unidos Mexicanos, en materia de conservación y protección de los maíces nativos.",25-Feb-2025,Aprobado por el Senado el 05-Mar-2025. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 11-Mar-2025. Declaratoria de la Cámara de Diputados el 12-Mar-2025. Pasa al Ejecutivo Federal. Publicado en el DOF el 17-Mar-2025.,publicada_dof,66/CD-LXVI-I-2P-022/01_minuta_022_25feb25.pdf;66/CD-LXVI-I-2P-022/02_dictamen_022_25feb25.pdf;66/CD-LXVI-I-2P-022/03_dof_022_17mar25.pdf
CD-LXVI-I-2P-023,I,PROYECTO de Decreto por el que se adiciona un segundo párrafo a la fracción XVII del artículo 68 de la Ley General de Movilidad y Seguridad Vial.,25-Feb-2025,Pendiente Senado.,en_revisora,66/CD-LXVI-I-2P-023/01_minuta_023_25feb25.pdf;66/CD-LXVI-I-2P-023/02_dictamen_023_25feb25.pdf
CD-LXVI-I-2P-024,I,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley de Ingresos sobre Hidrocarburos.",26-Feb-2025,Aprobado por el Senado el 05-Mar-2025. Pasa al Ejecutivo Federal. Publicado en el DOF 18-Mar-2025.,publicada_dof,66/CD-LXVI-I-2P-024/01_minuta_024_26feb25.pdf;66/CD-LXVI-I-2P-024/02_dictamen_024_26feb25.pdf;66/CD-LXVI-I-2P-024/03_dof_024_18mar25.pdf
CD-LXVI-I-2P-025,I,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley de Obras Públicas y Servicios Relacionados con las Mismas.",01-Abr-2025,Aprobado por el Senado el 10-Abr-2025. Pasa al Ejecutivo Federal. Publicado en el DOF 16-Abr-2025.,publicada_dof,66/CD-LXVI-I-2P-025/01_minuta_025_01abr25.pdf;66/CD-LXVI-I-2P-025/02_dictamen_025_01abr25.pdf;66/CD-LXVI-I-2P-025/03_dof_025_16abr25.pdf
CD-LXVI-I-2P-026,I,"PROYECTO de Decreto por el que se expide la Ley de Adquisiciones, Arrendamientos y Servicios del Sector Público y, se reforman, adicionan y derogan diversas disposiciones de la Ley Federal de Austeridad Republicana; de la Ley de la Economía Social y Solidaria y de la Ley General de Sociedades Cooperativas.",02-Abr-2025,Aprobado por el Senado el 10-Abr-2025. Pasa al Ejecutivo Federal. Publicado en el DOF 16-Abr-2025.,publicada_dof,66/CD-LXVI-I-2P-026/01_minuta_026_02abr25.pdf;66/CD-LXVI-I-2P-026/02_dictamen_026_02abr25.pdf;66/CD-LXVI-I-2P-026/01_modifica_026_02abr25.pdf;66/CD-LXVI-I-2P-026/03_dof_026_16abr25.pdf
CD-LXVI-I-2P-027,I,PROYECTO de Decreto por el que se expide el Reglamento de la Comisión Permanente del Congreso General de los Estados Unidos Mexicanos.,22-Abr-2025,"Devuelto por la Cámara de Senadores para los efectos de la fracción E del artículo 72 constitucional, el 28-Abr-2025. Se dio cuenta de la Minuta el 28-Abr-2025 .",devuelta,66/CD-LXVI-I-2P-027/01_minuta_027_22abr25.pdf;66/CD-LXVI-I-2P-027/02_dictamen_027_22abr25.pdf;66/CD-LXVI-I-2P-027/01_modifica_027_22abr25.pdf
CD-LXVI-I-2P-028,I,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley Federal de Armas de Fuego y Explosivos.",23-Abr-2025,Aprobado por el Senado el 30-Abr-2025. Pasa al Ejecutivo Federal. Publicado en el DOF 29-May-2025.,publicada_dof,66/CD-LXVI-I-2P-028/01_minuta_028_23abr25.pdf;66/CD-LXVI-I-2P-028/02_dictamen_028_23abr25.pdf;66/CD-LXVI-I-2P-028/03_dof_028_29may25.pdf
CD-LXVI-I-2P-029,I,PROYECTO de Decreto por el que se expide la Ley Nacional para Eliminar Trámites Burocráticos.,28-Abr-2025,Aprobado por el Senado el 24-Jun-2025. Pasa al Ejecutivo Federal. Publicado en el DOF 16-Jul-2025.,publicada_dof,66/CD-LXVI-I-2P-029/01_minuta_029_28abr25.pdf;66/CD-LXVI-I-2P-029/02_dictamen_029_28abr25.pdf;66/CD-LXVI-I-2P-029/03_dof_029_16jul25.pdf
CD-LXVI-I-2P-030,I,"PROYECTO de Decreto por el que se reforma el artículo 18 de la Ley sobre el Escudo, la Bandera y el Himno Nacionales, en materia de reconocimiento a las mujeres que han transformado nuestra patria.",28-Abr-2025,Aprobado por el Senado el 23-Jun-2025. Pasa al Ejecutivo Federal. Publicado en el DOF 21-Jul-2025.,publicada_dof,66/CD-LXVI-I-2P-030/01_minuta_030_28abr25.pdf;66/CD-LXVI-I-2P-030/02_dictamen_030_28abr25.pdf;66/CD-LXVI-I-2P-030/03_dof_030_21jul25.pdf
CD-LXVI-I-2P-031,I,PROYECTO Decreto por el que se reforman y adicionan diversas disposiciones de la Ley Orgánica del Congreso General de los Estados Unidos Mexicanos.,29-Abr-2025,Aprobado por el Senado el 26-Jun-2025. Pasa al Ejecutivo Federal. Publicado en el DOF 07-Jul-2025.,publicada_dof,66/CD-LXVI-I-2P-031/01_minuta_031_29abr25.pdf;66/CD-LXVI-I-2P-031/02_dictamen_031_29abr25.pdf;66/CD-LXVI-I-2P-031/03_dof_031_07jul25.pdf
CD-LXVI-I-2P-032,I,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley Reglamentaria del Servicio Ferroviario; de la Ley Orgánica de la Administración Pública Federal; de la Ley de Caminos, Puentes y Autotransporte Federal; de la Ley de Vías Generales de Comunicación, y de la Ley General de Bienes Nacionales, en materia ferroviaria y de armonización normativa.",29-Abr-2025,Aprobado por el Senado el 26-Jun-2025. Pasa al Ejecutivo Federal. Publicado en el DOF 16-Jul-2025.,publicada_dof,66/CD-LXVI-I-2P-032/01_minuta_032_29abr25.pdf;66/CD-LXVI-I-2P-032/02_dictamen_032_29abr25.pdf;66/CD-LXVI-I-2P-032/03_dof_032_16jul25.pdf
CD-LXVI-I-2P-033,I,PROYECTO Decreto por el que se reforman y adicionan diversas disposiciones de la Ley Federal del Trabajo.,29-Abr-2025,Pendiente Senado.,en_revisora,66/CD-LXVI-I-2P-033/01_minuta_033_29abr25.pdf;66/CD-LXVI-I-2P-033/02_dictamen_033_29abr25.pdf;66/CD-LXVI-I-2P-033/01_modifica_033_29abr25.pdf
CD-LXVI-I-2P-034,I,PROYECTO de Decreto por el que se adicionan las fracciones X Bis y X Ter al artículo 58 de la Ley General de Turismo.,29-Abr-2025,Pendiente Senado.,en_revisora,66/CD-LXVI-I-2P-034/01_minuta_034_29abr25.pdf;66/CD-LXVI-I-2P-034/02_dictamen_034_29abr25.pdf
CD-LXVI-I-1E-035,I,"PROYECTO de Decreto por el que se reforman, adicionan y derogan diversas disposiciones de la Ley General de Desarrollo Social, de la Ley Federal de Presupuesto y Responsabilidad Hacendaria y de la Ley General de Contabilidad Gubernamental.",23-Jun-2025,Aprobado por el Senado el 26-Jun-2025. Pasa al Ejecutivo Federal. Publicado en el DOF 16-Jul-2025.,publicada_dof,66/CD-LXVI-I-1E-035/01_minuta_035_23jun25.pdf;66/CD-LXVI-I-1E-035/02_dictamen_035_23jun25.pdf;66/CD-LXVI-I-1E-035/03_dof_035_16jul25.pdf
CD-LXVI-I-1E-036,I,"PROYECTO de Decreto por el que se reforma el artículo 191 de la Ley del Seguro Social, en materia de seguro por desempleo.",23-Jun-2025,Pendiente Senado.,en_revisora,66/CD-LXVI-I-1E-036/01_minuta_036_23jun25.pdf;66/CD-LXVI-I-1E-036/02_dictamen_036_23jun25.pdf
CD-LXVI-I-1E-037,I,"PROYECTO Decreto por el que se expide la Ley de la Guardia Nacional y se reforman, adicionan y derogan diversas disposiciones de la Ley Orgánica de la Administración Pública Federal; de la Ley Orgánica del Ejército y Fuerza Aérea Mexicanos; de la Ley de Educación Militar del Ejército y Fuerza Aérea Mexicanos; de la Ley de Ascensos y Recompensas del Ejército y Fuerza Aérea Mexicanos; de la Ley del Instituto de Seguridad Social para las Fuerzas Armadas Mexicanas; de la Ley de Disciplina del Ejército y Fuerza Aérea Mexicanos; del Código de Justicia Militar y del Código Militar de Procedimientos Penales.",24-Jun-2025,Aprobado por el Senado el 30-Jun-2025. Pasa al Ejecutivo Federal. Publicado en el DOF 16-Jul-2025.,publicada_dof,66/CD-LXVI-I-1E-037/01_minuta_037_24jun25.pdf;66/CD-LXVI-I-1E-037/02_dictamen_037_24jun25.pdf;66/CD-LXVI-I-1E-037/01_modifica_037_24jun25.pdf;66/CD-LXVI-I-1E-037/03_dof_037_16jul25.pdf
CD-LXVI-I-1E-038,I,PROYECTO de Decreto por el que se expide la Ley General del Sistema Nacional de Seguridad Pública.,25-Jun-2025,Aprobado por el Senado el 01-Jul-2025. Pasa al Ejecutivo Federal. Publicado en el DOF 16-Jul-2025.,publicada_dof,66/CD-LXVI-I-1E-038/01_minuta_038_25jun25.pdf;66/CD-LXVI-I-1E-038/02_dictamen_038_25jun25.pdf;66/CD-LXVI-I-1E-038/03_dof_038_16jul25.pdf
CD-LXVI-I-1E-039,I,PROYECTO de Decreto por el que se expide la Ley del Sistema Nacional de Investigación e Inteligencia en Materia de Seguridad Pública.,25-Jun-2025,Aprobado por el Senado el 01-Jul-2025. Pasa al Ejecutivo Federal. Publicado en el DOF 16-Jul-2025.,publicada_dof,66/CD-LXVI-I-1E-039/01_minuta_039_25jun25.pdf;66/CD-LXVI-I-1E-039/02_dictamen_039_25jun25.pdf;66/CD-LXVI-I-1E-039/03_dof_039_16jul25.pdf
CD-LXVI-II-1P-040,II,"PROYECTO de Decreto por el que se reforma el inciso a) de la fracción XXI del artículo 73 de la Constitución Política de los Estados Unidos Mexicanos, en materia de extorsión.",09-Sep-2025,Aprobado por el Senado el 24-Sep-2025. Pasa a las Legislaturas de los Estados. Declaratoria de la Cámara de Senadores el 30-Sep-2025. Declaratoria de la Cámara de Diputados el 07-Oct-2025. Pasa al Ejecutivo Federal. Publicado en el DOF el 09-Oct-2025.,publicada_dof,iniclave/66/CD-LXVI-II-1P-040/01_minuta_040_09sep25.pdf;iniclave/66/CD-LXVI-II-1P-040/02_dictamen_040_09sep25.pdf;iniclave/66/CD-LXVI-II-1P-040/03_dof_040_09oct25.pdf
CD-LXVI-II-1P-041,II,"PROYECTO de Decreto por el que se adicionan las fracciones VIII y IX al artículo 76 BIS de la Ley Federal de Protección al Consumidor, en materia de cancelación de suscripciones y membresías con cobro recurrente.",17-Sep-2025,Aprobado por el Senado el 05-Nov-2025. Pasa al Ejecutivo Federal. Publicado en el DOF el 12-Dic-2025.,publicada_dof,iniclave/66/CD-LXVI-II-1P-041/01_minuta_041_17sep25.pdf;iniclave/66/CD-LXVI-II-1P-041/02_iniciativa_041_17sep25.pdf;iniclave/66/CD-LXVI-II-1P-041/01_modifica_041_17sep25.pdf;iniclave/66/CD-LXVI-II-1P-041/03_dof_041_12dic25.pdf
CD-LXVI-II-1P-042,II,"PROYECTO de Decreto por el que se reforman y adicionan los artículos 215, 216 Ter y 419 de la Ley General de Salud.",30-Sep-2025,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-1P-042/01_minuta_042_30sep25.pdf;iniclave/66/CD-LXVI-II-1P-042/02_dictamen_042_30sep25.pdf;iniclave/66/CD-LXVI-II-1P-042/01_modifica_042_30sep25.pdf
CD-LXVI-II-1P-043,II,"PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley de la Economía Social y Solidaria, en materia de igualdad sustantiva, no discriminación y derechos de los pueblos y comunidades indígenas y afromexicanas.",30-Sep-2025,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-1P-043/01_minuta_043_30sep25.pdf;iniclave/66/CD-LXVI-II-1P-043/02_dictamen_043_30sep25.pdf
CD-LXVI-II-1P-044,II,PROYECTO de Decreto por el que se adicionan diversas disposiciones de la Ley de Fiscalización y Rendición de Cuentas de la Federación.,30-Sep-2025,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-1P-044/01_minuta_044_30sep25.pdf;iniclave/66/CD-LXVI-II-1P-044/02_dictamen_044_30sep25.pdf
CD-LXVI-II-1P-045,II,PROYECTO de Decreto por el que se adiciona un inciso m a la fracción III del artículo 24 de la Ley General de Pesca y Acuacultura Sustentables.,30-Sep-2025,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-1P-045/01_minuta_045_30sep25.pdf;iniclave/66/CD-LXVI-II-1P-045/02_dictamen_045_30sep25.pdf
CD-LXVI-II-1P-046,II,"PROYECTO de Decreto por el que se declara el 10 de noviembre de cada año, como el ""Día Nacional de la Mariposa Monarca"".",30-Sep-2025,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-1P-046/01_minuta_046_30sep25.pdf;iniclave/66/CD-LXVI-II-1P-046/02_dictamen_046_30sep25.pdf
CD-LXVI-II-1P-047,II,PROYECTO de Decreto por el que se reforman y adicionan diversas disposiciones de la Ley General de Bienes Nacionales y de la Ley General del Equilibrio Ecológico y la Protección al Ambiente.,01-Oct-2025,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-1P-047/01_minuta_047_01oct25.pdf;iniclave/66/CD-LXVI-II-1P-047/02_dictamen_047_01oct25.pdf;iniclave/66/CD-LXVI-II-1P-047/01_modifica_047_01oct25.pdf
CD-LXVI-II-1P-048,II,PROYECTO de Decreto por el que se reforma el artículo 21 de la Ley del Servicio Exterior Mexicano.,01-Oct-2025,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-1P-048/01_minuta_048_01oct25.pdf;iniclave/66/CD-LXVI-II-1P-048/02_dictamen_048_01oct25.pdf
CD-LXVI-II-1P-049,II,PROYECTO de Decreto por el que se reforman los artículos 111 y 111 BIS de la Ley General del Equilibrio Ecológico y la Protección al Ambiente.,01-Oct-2025,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-1P-049/01_minuta_049_01oct25.pdf;iniclave/66/CD-LXVI-II-1P-049/02_dictamen_049_01oct25.pdf
CD-LXVI-II-1P-050,II,"PROYECTO de Decreto por el que se declara el 22 de febrero de cada año, como el ""Día Nacional de la y el Periodista Deportivo"".",01-Oct-2025,Pendiente Senado.,en_revisora,iniclave/66/CD-LXVI-II-1P-050/01_minuta_050_01oct25.pdf;iniclave/66/CD-LXVI-II-1P-050/02_dictamen_050_01oct25.pdf
